date,Single,Semi-Detached,Row,Apartment,All
Jan-90,631,54,286,656,"1,627"
Feb-90,722,50,320,890,"1,982"
Mar-90,774,48,437,652,"1,911"
Apr-90,825,114,254,844,"2,037"
May-90,696,48,140,"1,426","2,310"
Jun-90,458,68,407,844,"1,777"
Jul-90,382,65,261,434,"1,142"
Aug-90,439,46,257,727,"1,469"
Sep-90,375,22,152,602,"1,151"
Oct-90,345,30,178,452,"1,005"
Nov-90,372,6,117,219,714
Dec-90,297,56,238,254,845
Jan-91,367,14,42,127,550
Feb-91,293,24,7,287,611
Mar-91,448,14,78,101,641
Apr-91,533,6,32,239,810
May-91,652,62,114,882,"1,710"
Jun-91,889,40,110,762,"1,801"
Jul-91,702,74,151,850,"1,777"
Aug-91,728,22,127,362,"1,239"
Sep-91,521,14,143,456,"1,134"
Oct-91,690,48,318,883,"1,939"
Nov-91,611,60,215,292,"1,178"
Dec-91,557,52,92,678,"1,379"
Jan-92,428,60,236,237,961
Feb-92,520,40,144,324,"1,028"
Mar-92,608,88,168,688,"1,552"
Apr-92,701,86,147,498,"1,432"
May-92,740,34,90,355,"1,219"
Jun-92,675,66,236,"1,190","2,167"
Jul-92,712,56,212,808,"1,788"
Aug-92,800,80,272,793,"1,945"
Sep-92,727,72,225,656,"1,680"
Oct-92,555,68,323,520,"1,466"
Nov-92,589,78,257,675,"1,599"
Dec-92,548,42,232,"1,025","1,847"
Jan-93,292,28,52,613,985
Feb-93,491,26,108,658,"1,283"
Mar-93,569,96,172,883,"1,720"
Apr-93,683,92,200,"1,013","1,988"
May-93,559,74,103,949,"1,685"
Jun-93,544,55,215,"1,104","1,918"
Jul-93,730,82,318,828,"1,958"
Aug-93,677,134,176,"1,658","2,645"
Sep-93,576,44,161,726,"1,507"
Oct-93,529,98,101,"1,041","1,769"
Nov-93,481,122,408,599,"1,610"
Dec-93,462,78,326,"1,373","2,239"
Jan-94,372,22,259,634,"1,287"
Feb-94,340,44,205,"1,192","1,781"
Mar-94,465,56,365,959,"1,845"
Apr-94,594,82,179,327,"1,182"
May-94,596,52,219,693,"1,560"
Jun-94,660,84,301,"1,146","2,191"
Jul-94,719,162,260,530,"1,671"
Aug-94,702,90,295,769,"1,856"
Sep-94,579,38,168,"1,141","1,926"
Oct-94,405,44,212,"1,052","1,713"
Nov-94,419,48,97,"1,378","1,942"
Dec-94,494,100,112,813,"1,519"
Jan-95,347,34,141,"1,205","1,727"
Feb-95,350,28,63,775,"1,216"
Mar-95,363,36,147,291,837
Apr-95,431,64,240,789,"1,524"
May-95,391,26,138,498,"1,053"
Jun-95,428,44,163,942,"1,577"
Jul-95,413,134,47,577,"1,171"
Aug-95,387,28,246,511,"1,172"
Sep-95,372,60,235,829,"1,496"
Oct-95,362,26,42,298,728
Nov-95,412,32,101,723,"1,268"
Dec-95,270,58,123,772,"1,223"
Jan-96,332,22,111,301,766
Feb-96,230,24,152,697,"1,103"
Mar-96,384,44,147,362,937
Apr-96,394,34,143,461,"1,032"
May-96,517,56,123,688,"1,384"
Jun-96,531,58,190,966,"1,745"
Jul-96,515,86,198,"1,352","2,151"
Aug-96,587,50,198,755,"1,590"
Sep-96,433,54,72,809,"1,368"
Oct-96,359,28,128,257,772
Nov-96,421,50,269,681,"1,421"
Dec-96,369,62,110,643,"1,184"
Jan-97,285,12,51,401,749
Feb-97,266,22,208,647,"1,143"
Mar-97,332,28,35,429,824
Apr-97,395,30,144,439,"1,008"
May-97,499,82,163,"1,003","1,747"
Jun-97,494,58,230,967,"1,749"
Jul-97,516,54,142,928,"1,640"
Aug-97,459,82,159,897,"1,597"
Sep-97,398,50,124,805,"1,377"
Oct-97,352,84,197,840,"1,473"
Nov-97,373,142,222,688,"1,425"
Dec-97,316,82,125,695,"1,218"
Jan-98,270,48,58,365,741
Feb-98,247,64,222,692,"1,225"
Mar-98,266,58,87,503,914
Apr-98,275,48,97,622,"1,042"
May-98,313,18,110,659,"1,100"
Jun-98,297,146,175,558,"1,176"
Jul-98,292,24,80,774,"1,170"
Aug-98,325,90,223,644,"1,282"
Sep-98,302,68,43,624,"1,037"
Oct-98,341,34,47,336,758
Nov-98,205,20,43,424,692
Dec-98,240,38,76,387,741
Jan-99,158,18,10,189,375
Feb-99,187,14,28,404,633
Mar-99,203,10,52,678,943
Apr-99,272,34,97,65,468
May-99,366,50,59,297,772
Jun-99,341,28,124,128,621
Jul-99,394,50,105,308,857
Aug-99,427,68,60,244,799
Sep-99,376,38,97,330,841
Oct-99,309,36,63,184,592
Nov-99,310,12,93,393,808
Dec-99,225,22,165,556,968
Jan-00,179,44,68,39,330
Feb-00,198,30,151,373,752
Mar-00,211,14,49,171,445
Apr-00,256,30,83,487,856
May-00,355,76,166,368,965
Jun-00,289,52,15,291,647
Jul-00,313,36,104,155,608
Aug-00,321,56,71,107,555
Sep-00,309,68,149,300,826
Oct-00,311,38,158,660,"1,167"
Nov-00,175,22,86,239,522
Dec-00,215,30,32,253,530
Jan-01,232,22,156,603,"1,013"
Feb-01,224,16,96,275,611
Mar-01,220,34,75,196,525
Apr-01,223,70,64,648,"1,005"
May-01,259,70,131,859,"1,319"
Jun-01,354,48,113,781,"1,296"
Jul-01,333,64,90,624,"1,111"
Aug-01,365,22,37,315,739
Sep-01,324,98,142,388,952
Oct-01,405,56,154,173,788
Nov-01,296,56,101,297,750
Dec-01,277,12,57,407,753
Jan-02,284,38,75,604,"1,001"
Feb-02,234,24,53,208,519
Mar-02,306,48,103,308,765
Apr-02,428,56,109,87,680
May-02,511,90,204,534,"1,339"
Jun-02,587,90,244,608,"1,529"
Jul-02,473,104,149,435,"1,161"
Aug-02,475,58,192,"1,134","1,859"
Sep-02,394,56,176,374,"1,000"
Oct-02,513,44,75,287,919
Nov-02,406,44,207,790,"1,447"
Dec-02,369,78,144,387,978
Jan-03,433,50,124,70,677
Feb-03,433,58,153,364,"1,008"
Mar-03,391,50,193,269,903
Apr-03,461,60,278,552,"1,351"
May-03,473,44,193,465,"1,175"
Jun-03,508,54,175,477,"1,214"
Jul-03,517,40,260,874,"1,691"
Aug-03,507,100,232,670,"1,509"
Sep-03,419,62,233,"1,232","1,946"
Oct-03,428,126,241,"1,186","1,981"
Nov-03,477,62,127,474,"1,140"
Dec-03,335,24,147,525,"1,031"
Jan-04,384,50,191,994,"1,619"
Feb-04,428,66,178,382,"1,054"
Mar-04,444,52,198,331,"1,025"
Apr-04,581,102,303,"1,493","2,479"
May-04,502,76,239,"1,039","1,856"
Jun-04,535,108,297,789,"1,729"
Jul-04,534,72,328,533,"1,467"
